Neuron,Start Time,Amplitude,Peak,Decay Time,Rise Time,Latency,Frequency
n28,31,0.3461000000000003,1.617,30,2,32,0.43333333333333335
n28,36,0.39553333333333285,1.656,30,0,30,0.43333333333333335
n28,41,0.48809999999999976,1.656,30,0,30,0.5
n28,46,0.5350666666666666,1.656,29,0,29,0.43333333333333335
n28,51,0.6006333333333334,1.656,24,0,24,0.4666666666666667
n28,56,0.6511333333333333,1.656,19,0,19,0.4
n28,61,0.6586333333333333,1.656,14,0,14,0.36666666666666664
n28,66,0.49470000000000014,1.522,9,5,14,0.4
n28,71,0.4440333333333335,1.522,4,3,7,0.5
n28,76,0.4109333333333334,1.522,0,1,1,0.5666666666666667
n28,81,0.40323333333333333,1.522,30,5,35,0.5333333333333333
n28,86,0.3817999999999999,1.522,30,4,34,0.5333333333333333
n28,91,0.4042333333333332,1.522,28,0,28,0.5666666666666667
n28,96,0.30233333333333356,1.332,23,0,23,0.5333333333333333
n28,101,0.3521000000000003,1.318,18,0,18,0.43333333333333335
n28,106,0.23253333333333337,1.147,30,1,31,0.5333333333333333
n28,111,0.22809999999999986,1.147,30,0,30,0.5666666666666667
n28,116,0.2859333333333335,1.147,30,0,30,0.5
n28,121,0.3283666666666668,1.147,28,1,29,0.5
n28,126,0.2709666666666667,1.091,23,1,24,0.5
n28,131,0.2692000000000001,1.091,18,0,18,0.4666666666666667
n28,136,0.26883333333333337,1.078,13,0,13,0.43333333333333335
n28,141,0.2913666666666669,1.064,8,0,8,0.5333333333333333
n28,146,0.2748999999999999,1.064,3,1,4,0.5666666666666667
n28,151,0.2584666666666666,1.064,24,0,24,0.5
n28,156,0.26313333333333355,1.064,19,1,20,0.5
n28,161,0.22263333333333346,0.999,14,2,16,0.5
n28,166,0.2579999999999999,0.999,9,0,9,0.5
n28,171,0.2841999999999999,0.999,4,0,4,0.4666666666666667
n28,176,0.3362333333333333,0.999,23,0,23,0.4
n28,181,0.37640000000000007,0.999,18,0,18,0.43333333333333335
n28,186,0.33043333333333325,0.918,17,0,17,0.4666666666666667
n28,191,0.19693333333333352,0.769,30,1,31,0.4666666666666667
n28,196,0.2273333333333334,0.806,9,0,9,0.43333333333333335
n28,201,0.38469999999999993,1.003,2,0,2,0.43333333333333335
n28,206,0.35439999999999994,1.003,0,7,7,0.43333333333333335
n28,211,0.32023333333333326,1.003,1,2,3,0.5
n28,216,0.2902,1.003,2,1,3,0.5666666666666667
n28,221,0.2909666666666667,1.003,0,4,4,0.5333333333333333
n28,226,0.3101666666666667,1.003,5,1,6,0.6
n28,231,0.263,0.884,0,1,1,0.5666666666666667
n28,236,0.30343333333333333,0.884,14,0,14,0.5333333333333333
n28,241,0.3767666666666666,0.884,9,0,9,0.43333333333333335
n28,246,0.39866666666666656,0.851,8,0,8,0.4
n28,251,0.40909999999999996,0.851,3,0,3,0.4
n28,256,0.24033333333333345,0.682,5,4,9,0.43333333333333335
n28,261,0.24219999999999992,0.707,0,4,4,0.4666666666666667
n28,266,0.2347333333333333,0.707,0,8,8,0.4666666666666667
n28,271,0.19993333333333319,0.707,0,3,3,0.4
n28,276,0.29313333333333325,0.84,5,0,5,0.5
n28,281,0.29056666666666664,0.84,0,3,3,0.5
n28,286,0.33296666666666674,0.927,4,0,4,0.5
n28,291,0.3918666666666666,1.035,1,0,1,0.4666666666666667
n28,296,0.3360333333333332,1.035,0,5,5,0.5
n28,301,0.5852,1.387,1,4,5,0.4
n28,306,0.5965666666666666,1.507,0,9,9,0.4
n28,311,0.5711666666666666,1.605,0,6,6,0.5
n28,316,0.5130999999999999,1.687,2,13,15,0.5
n28,321,0.4119999999999995,1.687,2,8,10,0.6333333333333333
n28,326,0.31479999999999997,1.687,0,3,3,0.5
n28,331,0.30386666666666673,1.687,30,4,34,0.4666666666666667
n28,336,0.8430666666666666,2.322,4,0,4,0.4
n28,341,0.7188666666666668,2.322,16,0,16,0.4
n28,346,0.7106000000000001,2.322,11,15,26,0.4
n28,351,0.6946666666666665,2.322,6,10,16,0.43333333333333335
n28,356,0.6933333333333331,2.322,1,5,6,0.4666666666666667
n28,361,0.6257333333333333,2.322,30,0,30,0.4666666666666667
n28,366,0.46960000000000024,2.112,30,0,30,0.43333333333333335
n28,371,0.4083999999999999,1.943,30,0,30,0.43333333333333335
n28,376,0.3709333333333331,1.846,30,0,30,0.43333333333333335
n28,381,0.35993333333333344,1.857,30,1,31,0.43333333333333335
n28,386,0.3719000000000001,1.907,30,1,31,0.43333333333333335
n28,391,0.3693666666666666,1.907,30,0,30,0.43333333333333335
n28,396,0.38283333333333336,1.907,30,4,34,0.36666666666666664
n28,401,0.35343333333333304,1.907,30,7,37,0.43333333333333335
n28,406,0.29856666666666665,1.907,30,2,32,0.5
n28,411,0.313366666666667,1.907,30,0,30,0.5
n28,416,0.32299999999999995,1.905,30,0,30,0.4666666666666667
n28,421,0.3509666666666664,1.905,30,3,33,0.43333333333333335
n28,426,0.3542666666666665,1.905,30,1,31,0.4666666666666667
n28,431,0.3753333333333333,1.905,30,0,30,0.4
n28,436,0.38713333333333355,1.905,30,0,30,0.4
n28,441,0.2541000000000002,1.762,30,0,30,0.43333333333333335
n28,446,0.2603,1.762,30,2,32,0.4666666666666667
n28,451,0.2578666666666667,1.762,30,3,33,0.5
n28,456,0.28023333333333333,1.762,30,0,30,0.5333333333333333
n28,461,0.3074666666666668,1.762,30,0,30,0.5333333333333333
n28,466,0.3155999999999999,1.764,30,0,30,0.5
n28,471,1.0495333333333339,2.623,10,3,13,0.26666666666666666
n28,476,0.942466666666667,2.623,5,19,24,0.36666666666666664
n28,481,0.8316666666666668,2.623,0,15,15,0.5
n28,486,0.6745000000000003,2.623,0,10,10,0.6
n28,491,0.4995000000000003,2.623,30,7,37,0.5333333333333333
n28,496,0.4239666666666668,2.623,30,2,32,0.4666666666666667
n28,501,0.46519999999999984,2.577,30,0,30,0.5
n28,506,0.5004999999999997,2.546,30,0,30,0.5
n28,511,0.6089666666666667,2.546,30,0,30,0.43333333333333335
n28,516,0.7251333333333334,2.536,25,0,25,0.5
n28,521,0.4701333333333333,2.16,20,0,20,0.5
n28,526,0.41593333333333304,2.017,15,0,15,0.43333333333333335
n28,531,0.46009999999999973,2.017,10,0,10,0.5
n28,536,0.545333333333333,2.017,5,0,5,0.5666666666666667
n28,541,0.5968333333333331,2.017,0,1,1,0.5
n28,546,0.6453,2.017,30,0,30,0.4666666666666667
n28,551,0.5147999999999997,1.796,30,0,30,0.43333333333333335
n28,556,0.38563333333333305,1.628,30,0,30,0.43333333333333335
n28,561,0.40110000000000023,1.57,30,0,30,0.43333333333333335
n28,566,0.3140333333333336,1.45,30,0,30,0.5333333333333333
n28,571,0.3290000000000002,1.45,30,0,30,0.5333333333333333
n28,576,0.4107666666666665,1.45,26,1,27,0.5
n28,581,0.4204999999999999,1.45,21,0,21,0.4666666666666667
n28,586,0.30876666666666663,1.314,16,1,17,0.5333333333333333
n28,591,0.3283666666666666,1.314,11,0,11,0.5666666666666667
n28,596,0.35619999999999996,1.314,6,0,6,0.5333333333333333
n28,601,0.2392333333333332,1.176,30,0,30,0.5
n28,606,0.22106666666666674,1.176,30,0,30,0.43333333333333335
n28,611,0.25109999999999977,1.176,29,0,29,0.4
n28,616,0.28813333333333313,1.176,24,1,25,0.4666666666666667
n28,621,0.32523333333333315,1.176,19,1,20,0.5
n28,626,0.3670333333333332,1.176,14,0,14,0.6
n28,631,0.3733333333333332,1.149,9,0,9,0.5666666666666667
n28,636,0.4146333333333332,1.149,4,0,4,0.5666666666666667
n28,641,0.33463333333333334,1.076,8,0,8,0.5666666666666667
n28,646,0.34363333333333324,1.076,3,0,3,0.5
n28,651,0.3263333333333335,1.076,10,3,13,0.5
n28,656,0.3267,1.076,5,1,6,0.5333333333333333
n28,661,0.3873333333333334,1.076,0,4,4,0.5333333333333333
n28,666,0.38526666666666665,1.076,19,0,19,0.5
n28,671,0.3968666666666666,1.044,14,0,14,0.4666666666666667
n28,676,0.8437000000000001,1.574,3,0,3,0.4
n28,681,0.9143666666666667,1.736,0,1,1,0.3333333333333333
n28,686,0.7813,1.736,0,16,16,0.4666666666666667
n28,691,0.8173333333333332,1.988,0,11,11,0.6
n28,696,0.6660666666666668,1.988,0,6,6,0.6
n28,701,0.5163333333333335,1.988,0,2,2,0.43333333333333335
n28,706,0.4791333333333334,1.988,30,2,32,0.43333333333333335
n28,711,0.4749666666666663,1.988,30,2,32,0.43333333333333335
n28,716,0.4335333333333333,1.988,30,1,31,0.4666666666666667
n28,721,0.44536666666666713,1.957,30,0,30,0.43333333333333335
n28,726,0.44220000000000015,1.957,30,2,32,0.4
n28,731,0.3998333333333335,1.894,30,3,33,0.4
n28,736,0.422233333333333,1.894,30,1,31,0.4
n28,741,0.41070000000000007,1.894,30,0,30,0.43333333333333335
n28,746,0.32373333333333343,1.723,30,0,30,0.5333333333333333
n28,751,0.3560000000000003,1.723,30,0,30,0.5333333333333333
n28,756,0.36050000000000026,1.655,29,0,29,0.5
n28,761,0.47460000000000013,1.655,24,0,24,0.5333333333333333
n28,766,0.5975333333333332,1.655,19,0,19,0.6
n28,771,0.5620333333333333,1.467,14,0,14,0.5
n28,776,0.6801333333333335,1.467,9,0,9,0.36666666666666664
n28,781,0.8131333333333334,1.467,4,0,4,0.3333333333333333
n28,786,0.3965000000000001,0.983,8,0,8,0.4666666666666667
n28,791,0.3699333333333332,0.983,3,1,4,0.43333333333333335
n28,796,0.5029333333333333,1.183,0,17,17,0.43333333333333335
n28,801,0.4406000000000001,1.183,1,12,13,0.6
n28,806,0.37029999999999996,1.183,0,7,7,0.6
n28,811,0.2918666666666666,1.183,0,2,2,0.5333333333333333
n28,816,0.27449999999999997,1.183,30,1,31,0.4666666666666667
n28,821,0.2737666666666667,1.183,30,0,30,0.5
n28,826,0.21250000000000013,1.1,30,0,30,0.4666666666666667
n28,831,0.24836666666666662,1.1,30,1,31,0.4666666666666667
n28,836,0.2873,1.083,28,0,28,0.5333333333333333
n28,841,0.3470333333333334,1.083,23,0,23,0.5333333333333333
n28,846,0.3739999999999999,1.12,17,0,17,0.4666666666666667
n28,851,0.41216666666666657,1.12,12,0,12,0.43333333333333335
n28,856,0.4860000000000001,1.12,7,1,8,0.36666666666666664
n28,861,0.5184666666666667,1.12,2,0,2,0.4
n28,866,0.5155000000000001,1.12,0,2,2,0.36666666666666664
n28,871,0.5287666666666669,1.12,6,0,6,0.4
n28,876,0.4247333333333332,0.949,3,0,3,0.4
n28,881,0.3085333333333333,0.806,0,2,2,0.4666666666666667
n28,886,0.3244,0.815,0,3,3,0.4666666666666667
n28,891,0.32116666666666654,0.815,8,0,8,0.5
n28,896,0.3726666666666666,0.815,3,0,3,0.5
n28,901,0.3787,0.815,1,0,1,0.4666666666666667
n28,906,0.4004333333333333,0.815,4,0,4,0.5
n28,911,0.43479999999999996,0.815,0,3,3,0.43333333333333335
n28,916,0.2356666666666667,0.586,7,0,7,0.5666666666666667
n28,921,0.20226666666666665,0.523,2,0,2,0.5666666666666667
n28,926,0.2012666666666667,0.523,7,0,7,0.5333333333333333
n28,931,0.22640000000000005,0.513,2,0,2,0.4666666666666667
n28,936,0.272,0.56,0,1,1,0.5
n28,941,0.2647666666666667,0.56,0,1,1,0.5
n28,946,0.2542000000000001,0.56,3,0,3,0.4666666666666667
n28,951,0.2664666666666667,0.56,2,1,3,0.4666666666666667
n28,956,0.29109999999999997,0.599,0,3,3,0.5
n28,961,0.28803333333333336,0.599,0,1,1,0.5666666666666667
n28,966,0.2927666666666666,0.599,0,3,3,0.5333333333333333
n28,971,0.31156666666666666,0.599,0,2,2,0.5333333333333333
n28,976,0.35723333333333335,0.599,1,0,1,0.5
n28,981,0.35383333333333333,0.599,2,0,2,0.4666666666666667
n28,986,0.2737,0.497,1,0,1,0.5
n28,991,0.2702333333333333,0.497,3,0,3,0.5
n28,996,0.2928,0.497,0,1,1,0.43333333333333335
n28,1001,0.2315333333333333,0.44,0,5,5,0.4
n28,1006,0.2074666666666666,0.44,1,0,1,0.43333333333333335
n28,1011,0.2319666666666667,0.44,0,1,1,0.36666666666666664
n28,1016,0.246,0.44,3,0,3,0.4
n28,1021,0.23800000000000004,0.42,0,1,1,0.4
n28,1026,0.2638666666666667,0.42,1,0,1,0.4666666666666667
n28,1031,0.15526666666666666,0.296,3,0,3,0.5333333333333333
n28,1036,0.1563,0.296,0,2,2,0.5
n28,1041,0.14506666666666668,0.296,1,0,1,0.5
n28,1046,0.19199999999999998,0.351,0,1,1,0.5333333333333333
n28,1051,0.2432,0.436,0,7,7,0.4666666666666667
n28,1056,0.18986666666666668,0.436,0,8,8,0.5
n28,1061,0.25086666666666674,0.529,0,14,14,0.4666666666666667
n28,1066,0.22190000000000004,0.529,0,9,9,0.5666666666666667
n28,1071,0.2392333333333333,0.584,0,4,4,0.5666666666666667
