graph_id,node_id,feat
2,46,"1.0331571828642947,0.3700415963008287,0.14035910263080134"
2,47,"0.055154306591920235,-0.33752866645683627,0.6812243296602206"
2,48,"0.04404063754337053,0.12924543358225157,-0.12636895453439168"
2,49,"0.3700415963008287,0.14035910263080134,0.4256099415435773"
2,50,"-0.33752866645683627,0.6812243296602206,0.8405202526894332"
2,51,"0.12924543358225157,-0.12636895453439168,0.9331341614273474"
2,52,"0.14035910263080134,0.4256099415435773,0.7293835622039362"
2,53,"0.6812243296602206,0.8405202526894332,1.373976367019819"
2,54,"-0.12636895453439168,0.9331341614273474,0.5441557447281073"
2,55,"0.4256099415435773,0.7293835622039362,1.196157662243024"
2,56,"0.8405202526894332,1.373976367019819,0.8775658161845988"
2,57,"0.9331341614273474,0.5441557447281073,0.8701567034855656"
2,58,"0.7293835622039362,1.196157662243024,0.32929147645614637"
2,59,"1.373976367019819,0.8775658161845988,0.7775427947476514"
2,60,"0.5441557447281073,0.8701567034855656,0.8034746891942673"
2,61,"1.196157662243024,0.32929147645614637,0.4774737304368093"
2,62,"0.8775658161845988,0.7775427947476514,0.5515648574271406"
2,63,"0.8701567034855656,0.8034746891942673,0.48858739948535906"
2,64,"0.32929147645614637,0.4774737304368093,1.1072483098546262"
2,65,"0.7775427947476514,0.5515648574271406,1.3147034654275542"
2,66,"0.8034746891942673,0.48858739948535906,0.9109068233302481"
2,67,"0.4774737304368093,1.1072483098546262,0.6997471114078035"
2,68,"0.5515648574271406,1.3147034654275542,0.7590200130000685"
2,69,"0.48858739948535906,0.9109068233302481,0.6886334423592538"
2,70,"1.1072483098546262,0.6997471114078035,0.3996780470969613"
2,71,"1.3147034654275542,0.7590200130000685,-0.17823274342762369"
2,72,"0.9109068233302481,0.6886334423592538,0.8886794852331485"
2,73,"0.6997471114078035,0.3996780470969613,0.03663152484433736"
2,74,"0.7590200130000685,-0.17823274342762369,1.1998622185925405"
2,75,"0.6886334423592538,0.8886794852331485,0.5367466320290744"
2,76,"0.3996780470969613,0.03663152484433736,0.05144975024240365"
2,77,"-0.17823274342762369,1.1998622185925405,0.092199870087086"
2,78,"0.8886794852331485,0.5367466320290744,0.7145653368058699"
2,79,"0.03663152484433736,0.05144975024240365,0.677519773310704"
2,80,"1.1998622185925405,0.092199870087086,0.22926845501919907"
2,81,"0.5367466320290744,0.7145653368058699,0.5441557447281073"
2,82,"0.05144975024240365,0.677519773310704,0.4959965121843922"
2,83,"0.092199870087086,0.22926845501919907,-0.01523226404889457"
2,84,"0.7145653368058699,0.5441557447281073,0.2107456732716162"
2,85,"0.677519773310704,0.4959965121843922,0.05885886294143682"
2,86,"0.22926845501919907,-0.01523226404889457,-0.3708696736024854"
2,87,"0.5441557447281073,0.2107456732716162,0.11072265183466881"
2,88,"0.4959965121843922,0.05885886294143682,-0.23380108867037233"
2,89,"-0.01523226404889457,-0.3708696736024854,-0.29307399026263736"
2,90,"0.2107456732716162,0.11072265183466881,-0.35234689185490253"
2,91,"0.05885886294143682,-0.23380108867037233,-0.5709157164763802"
2,92,"-0.3708696736024854,-0.29307399026263736,-0.29307399026263736"
2,93,"0.11072265183466881,-0.35234689185490253,-0.21527830692278946"
2,94,"-0.23380108867037233,-0.5709157164763802,-1.1303037252533823"
2,95,"-0.29307399026263736,-0.29307399026263736,-0.9932351403212692"
2,96,"-0.35234689185490253,-0.21527830692278946,-0.9932351403212692"
2,97,"-0.5709157164763802,-1.1303037252533823,-1.2488495284379126"
2,98,"-0.29307399026263736,-0.9932351403212692,-0.9302576823794875"
2,99,"-0.21527830692278946,-0.9932351403212692,-1.2821905355835617"
2,100,"-1.1303037252533823,-1.2488495284379126,-1.4192591205156746"
2,101,"-0.9932351403212692,-0.9302576823794875,-1.011757922068852"
2,102,"-0.9932351403212692,-1.2821905355835617,-1.0636217109620842"
2,103,"-1.2488495284379126,-1.4192591205156746,-1.1895766268456474"
2,104,"-0.9302576823794875,-1.011757922068852,-1.0006442530203024"
2,105,"-1.2821905355835617,-1.0636217109620842,-1.6007823816419868"
2,106,"-1.4192591205156746,-1.1895766268456474,-0.9117349006319047"
2,107,"-1.011757922068852,-1.0006442530203024,-0.6857569633113939"
2,108,"-1.0636217109620842,-1.6007823816419868,-1.0673262673116004"
2,109,"-1.1895766268456474,-0.9117349006319047,-0.7561435339522087"
2,110,"-1.0006442530203024,-0.6857569633113939,-1.2006902958941972"
2,111,"-1.6007823816419868,-1.0673262673116004,-0.9487804641270703"
2,112,"-0.9117349006319047,-0.7561435339522087,-1.0080533657193356"
2,113,"-0.6857569633113939,-1.2006902958941972,-1.0265761474669184"
2,114,"-1.0673262673116004,-0.9487804641270703,-0.7228025268065595"
