stamp,n1,n2,n3,n4,n5,n6,n7,n8,n9,n10,n11,n12,n13,n14,n15,n16,n17,n18,n19,n20,n21,n22,n23,n24,n25,n26,n27,n28,n29
266,-0.511,-0.045,0.191,-0.023,-0.064,0.124,1.669,-0.698,0,-0.047,-0.446,0.423,1.121,1.143,-0.152,0.223,-0.302,0.445,-0.24,-0.067,-0.447,-0.412,-0.599,-0.655,-0.262,-0.383,-0.171,0.087,-0.024
267,-0.394,-0.08,0.214,-0.075,-0.073,0.222,1.739,-0.634,0,-0.017,-0.42,0.56,1.131,1.086,-0.21,0.316,-0.321,0.48,-0.257,0.008,-0.472,-0.447,-0.584,-0.54,-0.164,-0.44,-0.042,0.228,0.092
268,-0.423,-0.071,0.092,-0.037,-0.141,0.117,1.621,-0.61,-0.116,0,-0.419,0.441,0.762,0.935,-0.041,0.203,-0.529,0.544,-0.348,-0.061,-0.336,-0.439,-0.55,-0.563,-0.189,-0.441,-0.138,-0.388,-0.191
269,-0.503,-0.057,0.033,-0.003,-0.07,0.295,1.541,-0.715,0,-0.069,-0.42,0.409,1.014,1.065,-0.306,0.197,-0.429,0.355,-0.357,-0.056,-0.577,-0.427,-0.566,-0.675,-0.228,-0.465,-0.189,0.002,-0.105
270,-0.547,-0.113,-0.021,-0.001,-0.165,0.131,1.444,-0.706,0,-0.074,-0.485,0.299,0.876,0.932,-0.198,0.195,-0.395,0.423,-0.337,-0.033,-0.572,-0.454,-0.612,-0.622,-0.233,-0.516,-0.169,0,-0.124
271,-0.544,-0.066,0.038,-0.047,-0.113,0,1.57,-0.824,0.096,-0.179,-0.384,0.341,0.988,1.168,-0.224,0.187,-0.41,0.422,-0.367,-0.054,-0.484,-0.34,-0.551,-0.713,-0.226,-0.432,-0.113,0.075,-0.067
272,-0.534,-0.172,-0.22,-0.156,-0.235,0,1.197,-0.831,0.389,-0.152,-0.556,-0.032,0.412,0.839,-0.29,-0.007,-0.325,0.258,-0.505,-0.203,-0.46,-0.54,-0.641,-0.706,-0.343,-0.459,-0.173,-0.12,-0.326
273,-0.451,-0.185,0.103,-0.04,-0.161,-0.018,1.605,-0.53,0.202,0,-0.461,0.269,0.616,1.128,-0.18,0.171,-0.416,0.617,-0.413,-0.075,-0.526,-0.543,-0.563,-0.63,-0.203,-0.487,-0.09,-0.214,-0.268
274,-0.526,-0.288,-0.1,-0.176,-0.215,0,1.344,-0.735,0.163,-0.219,-0.524,0.282,0.542,0.997,-0.291,0.17,-0.357,0.299,-0.45,-0.147,-0.55,-0.539,-0.651,-0.687,-0.34,-0.443,-0.174,0.073,-0.077
275,-0.576,-0.195,0.029,-0.179,-0.293,0,1.308,-0.771,0.117,-0.157,-0.475,0.159,0.303,1.028,-0.229,0.158,-0.479,0.369,-0.459,-0.179,-0.666,-0.456,-0.628,-0.655,-0.283,-0.486,-0.165,-0.358,-0.296
276,-0.587,-0.265,-0.026,-0.15,-0.235,0,1.221,-0.663,0.162,-0.227,-0.605,0.197,0.623,1.006,-0.338,0.045,-0.392,0.274,-0.432,-0.14,-0.624,-0.39,-0.614,-0.694,-0.301,-0.554,-0.258,-0.061,-0.039
277,-0.473,-0.096,0.037,-0.004,-0.155,0,1.371,-0.75,0.261,-0.009,-0.304,0.454,0.807,1.215,-0.156,0.21,-0.465,0.492,-0.36,-0.067,-0.515,-0.419,-0.543,-0.707,-0.24,-0.444,-0.023,0.057,-0.08
