stamp,n1,n2,n3,n4,n5,n6,n7,n8,n9,n10,n11,n12,n13,n14,n15,n16,n17,n18,n19,n20,n21,n22,n23,n24,n25,n26,n27,n28,n29
435,-0.036,0.312,0.349,0.467,-0.298,-0.048,0.341,0.832,-0.131,0,-0.133,0.182,0.349,0.407,0.639,1.626,0.458,0.293,-0.094,0.398,-0.512,-0.205,-0.47,-0.111,0.12,-0.406,0.028,0.195,-0.196
436,0.053,0.387,0.387,0.338,-0.211,-0.006,0.436,1.257,0,-0.186,-0.252,0.274,0.26,0.313,0.457,1.637,0.265,0.229,-0.068,0.272,-0.694,-0.29,-0.426,0.094,0.088,-0.436,-0.063,0.442,-0.109
437,0.029,0.329,0.326,0.347,-0.283,0,0.276,1.159,-0.079,-0.112,-0.297,0.065,0.267,0.453,0.612,1.383,0.345,0.402,-0.143,0.273,-0.553,-0.309,-0.519,-0.232,0.174,-0.562,-0.064,0.247,-0.216
438,0.147,0.412,0.537,0.511,-0.239,0,0.501,0.663,-0.218,-0.054,-0.003,0.271,0.579,0.482,0.88,1.809,0.533,0.581,0.121,0.412,-0.687,-0.093,-0.394,-0.069,0.176,-0.41,0.039,0.627,-0.003
439,-0.091,0.35,0.225,0.375,-0.23,0,0.344,0.828,-0.188,-0.169,-0.162,0.24,0.313,0.51,0.401,1.507,0.423,0.373,-0.225,0.335,-0.679,-0.194,-0.457,-0.183,-0.018,-0.405,-0.058,0.335,-0.233
440,0.197,0.567,0.554,0.777,-0.159,0,0.361,0.204,-0.067,-0.007,-0.035,0.336,0.414,0.503,0.763,1.836,0.627,0.469,-0.042,0.416,-0.5,-0.132,-0.401,-0.373,0.183,-0.332,0.219,0.509,-0.236
441,0.037,0.166,0.421,0.43,-0.246,0,0.25,1.183,-0.169,-0.026,-0.141,0.082,0.292,0.327,0.647,1.73,0.229,0.638,-0.221,0.306,-0.617,-0.263,-0.495,0.032,0.095,-0.363,-0.018,0.49,-0.172
442,-0.068,0.468,0.223,0.391,-0.314,0,0.334,0.952,-0.046,-0.005,-0.096,0.132,0.441,0.39,0.667,1.795,0.427,0.426,-0.158,0.378,-0.576,-0.233,-0.525,-0.05,0.051,-0.375,-0.05,0.453,-0.205
443,-0.072,0.439,0.538,0.394,-0.26,0,0.457,0.497,-0.035,-0.105,0.008,0.391,0.243,0.36,0.667,1.645,0.521,0.627,-0.203,0.419,-0.551,-0.193,-0.457,-0.128,0.186,-0.416,-0.065,0.484,-0.151
444,0.019,0.397,0.328,0.423,-0.146,-0.105,0.323,1.13,-0.053,0,-0.112,0.392,0.185,0.409,0.703,1.628,0.179,0.474,-0.282,0.208,-0.486,-0.232,-0.454,-0.245,0.172,-0.395,0.028,0.489,-0.114
445,-0.05,-0.007,0.248,-0.055,-0.316,-0.07,0.337,1.13,0,-0.189,-0.183,0.194,0.062,0.282,0.717,1.16,0.17,0.437,-0.183,0.262,-0.682,-0.322,-0.487,-0.342,0.019,-0.412,-0.061,0.151,-0.354
446,0.18,0.395,0.506,0.475,-0.104,-0.056,0.573,0.952,0,-0.01,-0.027,0.277,0.453,0.456,0.799,1.751,0.295,0.725,-0.028,0.3,-0.626,-0.179,-0.481,-0.141,0.162,-0.427,0.034,0.569,-0.003
447,0.114,0.461,0.286,0.52,0.026,0,0.48,1.198,-0.084,-0.153,-0.108,0.334,0.299,0.576,0.715,1.599,0.388,0.42,-0.044,0.493,-0.497,-0.223,-0.564,-0.005,0.046,-0.418,0.051,0.61,-0.058
448,-0.003,0.272,0.132,0.442,-0.219,-0.201,0.176,0.706,-0.163,0,-0.158,0.385,0.078,0.315,0.582,1.184,0.455,0.605,-0.307,0.186,-0.634,-0.286,-0.488,-0.399,-0.009,-0.569,-0.119,0.32,-0.276
449,-0.008,0.344,0.298,0.482,-0.162,-0.073,0.234,0.802,0,-0.147,-0.087,0.298,0.223,0.198,0.648,1.219,0.233,0.433,-0.214,0.217,-0.66,-0.208,-0.442,-0.354,0.006,-0.421,-0.177,0.322,-0.175
450,-0.028,0.315,0.216,0.283,-0.204,-0.224,0.286,0.561,-0.174,0,-0.109,0.343,0.325,0.309,0.755,1.706,0.288,0.463,-0.144,0.311,-0.716,-0.22,-0.457,-0.257,0.015,-0.485,-0.079,0.3,-0.261
451,0.003,0.324,0.537,0.332,-0.125,-0.053,0.465,1.134,-0.1,0,-0.217,0.476,0.406,0.365,0.764,1.726,0.241,0.66,-0.01,0.246,-0.532,-0.266,-0.505,-0.02,0.086,-0.398,-0.007,0.675,-0.038
452,0.141,0.541,0.428,0.634,-0.218,-0.008,0.319,0.48,-0.124,0,-0.037,0.349,0.347,0.648,0.888,1.302,0.322,0.794,-0.147,0.437,-0.572,-0.211,-0.491,-0.176,0.103,-0.276,-0.009,0.658,-0.144
453,-0.004,0.371,0.403,0.6,-0.115,0,0.435,0.922,-0.006,-0.033,-0.107,0.446,0.228,0.591,0.65,1.949,0.479,0.678,0.019,0.43,-0.623,-0.067,-0.397,-0.042,0.215,-0.356,-0.033,0.677,-0.122
454,0.044,0.436,0.263,0.311,-0.154,0,0.236,0.903,-0.107,-0.063,-0.02,0.276,0.276,0.493,0.761,1.462,0.194,0.502,0.048,0.468,-0.601,-0.17,-0.496,-0.232,0.035,-0.417,0.046,0.35,-0.022
455,0.016,0.206,0.142,0.202,-0.317,-0.02,0.397,1.179,0,-0.154,-0.269,0.058,0.067,0.422,0.56,1.132,0.448,0.542,-0.182,0.454,-0.627,-0.245,-0.443,-0.45,-0.004,-0.509,0,0.09,-0.167
456,-0.045,0.603,0.371,0.498,-0.107,-0.016,0.378,0.838,0,-0.005,-0.033,0.316,0.14,0.473,0.59,1.601,0.473,0.521,-0.009,0.471,-0.611,-0.117,-0.328,-0.113,0.154,-0.376,0.074,0.561,-0.159
457,0.012,0.422,0.449,0.511,0.001,-0.017,0.336,0.688,-0.043,0,0.063,0.277,0.45,0.478,0.651,1.743,0.805,0.548,-0.129,0.493,-0.603,-0.107,-0.523,-0.121,0.073,-0.41,0.047,0.559,0.011
458,-0.097,0.32,0.309,0.361,-0.253,0,0.38,1.012,-0.063,-0.023,-0.13,0.173,0.347,0.346,0.593,1.53,0.274,0.344,-0.036,0.396,-0.631,-0.322,-0.411,-0.151,0.098,-0.395,0.148,0.38,-0.226
459,-0.053,0.318,0.2,0.175,-0.276,-0.021,0.201,0.686,-0.103,0,-0.211,0.171,0.182,0.496,0.537,1.16,0.385,0.509,-0.213,0.311,-0.606,-0.25,-0.387,-0.405,0.006,-0.503,-0.091,0.184,-0.174
460,-0.038,0.504,0.302,0.264,-0.209,-0.101,0.342,0.335,-0.016,0,-0.152,0.336,0.19,0.279,0.661,1.412,0.479,0.271,-0.288,0.32,-0.658,-0.153,-0.462,-0.057,0.027,-0.457,-0.075,0.437,-0.293
461,0.008,0.445,0.41,0.385,-0.138,-0.002,0.4,0.854,-0.007,0,-0.084,0.357,0.112,0.54,0.638,1.348,0.516,0.47,0.098,0.529,-0.504,-0.217,-0.389,-0.082,0.166,-0.421,0.063,0.647,-0.14
462,0.035,0.389,0.34,0.285,-0.193,-0.05,0.211,0.658,-0.14,0,-0.144,0.088,0.179,0.446,0.574,1.474,0.362,0.589,-0.093,0.314,-0.648,-0.135,-0.427,-0.01,0.224,-0.395,0.19,0.486,-0.105
463,-0.243,0.383,0.277,0.247,-0.306,-0.151,0.066,0.592,0,-0.132,-0.174,-0.019,-0.01,0.122,0.558,0.931,0.44,0.385,-0.269,0.159,-0.743,-0.339,-0.5,-0.39,-0.059,-0.509,-0.147,0.076,-0.169
464,-0.117,0.23,0.166,0.301,-0.209,-0.071,0.171,0.598,-0.147,0,0.001,0.155,0.099,0.237,0.548,0.981,0.124,0.408,-0.235,0.226,-0.652,-0.305,-0.467,-0.564,0.147,-0.478,-0.175,0.071,-0.363
465,-0.126,0.353,0.217,0.235,-0.324,-0.128,0.189,0.773,-0.115,0,-0.103,0.208,0.13,0.342,0.418,1.456,0.258,0.289,-0.186,0.199,-0.478,-0.28,-0.455,-0.175,0.096,-0.436,-0.13,0.27,-0.242
466,-0.02,0.413,0.057,0.276,-0.149,-0.072,0.333,0.652,-0.176,0,0.044,0.248,0.376,0.345,0.394,1.504,0.285,0.364,-0.117,0.31,-0.631,-0.17,-0.588,-0.207,0.156,-0.554,-0.078,0.562,-0.159
467,-0.208,0.247,0.084,0.254,-0.268,-0.121,0.172,0.526,-0.329,0,-0.112,0.096,0.221,0.196,0.405,1.049,0.228,0.251,-0.298,0.122,-0.674,-0.246,-0.468,-0.271,0.016,-0.613,-0.126,0.115,-0.396
468,-0.143,0.892,0.307,0.391,-0.268,-0.163,0.015,0.295,-0.253,0,-0.466,0.402,0.068,0.438,0.847,1.165,0.378,0.319,-0.249,0.198,-0.649,-0.267,-0.501,-0.557,-0.027,-0.507,-0.017,0.128,-0.174
469,-0.179,0.637,0.134,0.391,-0.338,-0.235,0.222,0.399,-0.177,0,-0.204,0.12,0.177,0.431,0.483,1.152,0.267,0.333,-0.116,0.186,-0.574,-0.318,-0.463,-0.31,0.027,-0.436,-0.1,0.331,-0.161
470,-0.119,0.842,0.121,0.238,-0.186,-0.033,0.276,0.785,0,-0.04,-0.018,0.117,0.191,0.321,0.752,1.139,0.253,0.573,-0.116,0.289,-0.641,-0.125,-0.519,-0.281,0.12,-0.401,-0.15,0.575,-0.046
471,-0.183,0.659,0.208,0.234,-0.096,-0.081,0.149,0.696,-0.247,0,-0.29,0.131,0.228,0.21,0.569,1.234,0.245,0.272,-0.167,0.332,-0.743,-0.113,-0.538,-0.25,0.09,-0.566,-0.118,0.334,-0.265
472,-0.146,0.924,0.093,0.314,-0.356,-0.237,0.113,0.051,-0.265,0,-0.269,0.167,-0.003,0.327,0.545,0.886,0.41,0.362,-0.2,0.22,-0.67,-0.282,-0.509,-0.556,0.018,-0.444,0.032,0.057,-0.254
473,-0.263,0.866,0.063,0.351,-0.352,-0.179,0,0.217,-0.355,0.008,-0.247,0.087,-0.013,0.141,0.5,0.977,0.136,0.074,-0.251,0.199,-0.624,-0.238,-0.383,-0.389,0.047,-0.375,-0.172,0.228,-0.436
474,-0.232,0.762,0.081,0.185,-0.353,-0.264,0.081,0.307,-0.045,0,-0.27,0.077,0.082,0.37,0.364,0.973,0.129,0.179,-0.199,0.153,-0.584,-0.459,-0.492,-0.359,0.068,-0.562,-0.085,0.237,-0.385
475,-0.135,1.091,0.164,0.11,-0.224,-0.155,0.059,0.456,-0.188,0,-0.158,0.134,0.222,0.133,0.391,1.142,0.042,0.173,-0.092,0.254,-0.62,-0.284,-0.537,-0.4,0.039,-0.495,-0.08,0.132,-0.246
476,-0.15,1.13,0.288,0.329,-0.302,-0.102,0.084,0.9,-0.09,0,-0.346,0.24,0.221,0.288,0.735,1.049,0.308,0.343,-0.202,0.423,-0.669,-0.222,-0.454,-0.337,0.01,-0.573,0.012,0.388,-0.221
477,-0.111,1.317,0.161,0.379,-0.311,-0.079,0.173,0.829,-0.023,0,-0.145,0.228,0.231,0.28,0.413,1.394,0.179,0.314,-0.183,0.4,-0.653,-0.31,-0.478,-0.253,0.119,-0.497,0.09,0.391,-0.058
478,-0.087,0.967,0.149,0.032,-0.35,0,0.13,1.351,-0.117,-0.084,-0.058,0.353,0.383,0.447,0.699,0.949,0.313,0.403,-0.065,0.423,-0.342,-0.252,-0.503,-0.243,0.06,-0.54,-0.053,0.187,-0.228
479,-0.124,1.584,0.275,0.495,-0.167,-0.078,0.259,0.148,-0.159,0,-0.213,0.263,0.332,0.403,0.54,1.37,0.688,0.581,-0.003,0.555,-0.511,-0.093,-0.418,-0.127,0.353,-0.46,0.088,0.465,-0.054
480,-0.093,1.241,0.267,0.384,-0.228,-0.118,0.138,0.14,-0.204,0,-0.081,0.137,0.289,0.277,0.387,0.982,0.26,0.276,-0.195,0.333,-0.567,-0.121,-0.535,-0.512,0.005,-0.429,-0.09,0.349,-0.311
481,0.168,2.473,0.396,0.618,-0.01,0,0.252,-0.514,-0.26,0.462,0.147,0.266,0.758,0.94,1.097,1.798,1.12,0.971,0.214,0.867,-0.61,0.202,-0.194,-0.091,0.281,-0.17,0.137,0.948,0.193
482,-0.114,1.455,0.124,0.267,-0.275,-0.164,0.094,0.291,-0.298,0,0.071,0.161,0.204,0.438,0.523,1.265,0.168,0.464,-0.061,0.373,-0.599,-0.231,-0.439,-0.119,0.212,-0.439,0.017,0.412,0.032
483,-0.241,0.954,0.134,0.204,-0.264,-0.301,0.297,0.373,-0.303,0,-0.167,-0.056,0.148,0.392,0.319,0.967,0.18,0.467,-0.044,0.244,-0.492,-0.137,-0.48,-0.214,0.041,-0.522,0.047,0.252,-0.036
484,-0.141,1.367,0.219,0.301,-0.277,-0.193,0,0.022,-0.327,0.03,0.058,0.252,0.076,0.343,0.676,0.649,0.332,0.613,-0.177,0.367,-0.627,-0.237,-0.452,-0.431,0.108,-0.352,-0.08,0.036,-0.241
485,-0.028,1.512,0.247,0.346,-0.145,-0.048,0.304,0.268,-0.07,0,0.197,0.108,0.467,0.48,0.689,1.31,0.65,0.606,0.002,0.597,-0.423,-0.106,-0.372,-0.236,0.288,-0.345,0.203,0.446,-0.04
486,-0.253,1.007,0.045,0.287,-0.316,-0.272,0.114,0.403,-0.36,0,-0.134,-0.124,0.076,0.144,0.346,1.073,0.095,0.179,-0.188,0.215,-0.692,-0.265,-0.438,-0.293,-0.037,-0.336,0.014,0.144,-0.18
487,-0.132,1.335,0.089,0.247,-0.102,-0.072,0.106,0.309,-0.314,0,-0.101,0.125,0.325,0.172,0.582,0.83,0.314,0.553,-0.062,0.392,-0.587,-0.183,-0.413,-0.252,0.083,-0.445,0.089,0.371,-0.004
488,-0.173,1.427,0.258,0.572,-0.174,-0.085,0.098,0,-0.153,0.163,0.076,0.196,0.342,0.656,0.688,1.025,0.487,0.604,-0.156,0.522,-0.495,-0.154,-0.369,-0.431,0.215,-0.363,-0.02,0.208,-0.172
489,-0.312,0.881,0.079,0.15,-0.206,-0.266,0.172,0.126,-0.322,0,-0.059,-0.026,0.076,0.419,0.27,0.942,0.178,-0.048,-0.111,0.249,-0.607,-0.231,-0.384,-0.218,0.106,-0.411,-0.233,0.244,-0.222
490,-0.153,0.808,-0.03,0.186,-0.36,-0.209,0.283,0.609,-0.21,0,-0.166,0.121,0.055,0.306,0.141,0.856,-0.054,0.222,-0.055,0.32,-0.587,-0.25,-0.562,-0.094,0.148,-0.322,-0.164,0.157,-0.24
491,-0.26,0.86,0.035,0.097,-0.217,-0.129,0.126,0.23,-0.263,0,-0.15,0.189,0.198,0.602,0.312,1.161,0.066,0.261,-0.127,0.187,-0.556,-0.216,-0.508,-0.22,0.216,-0.457,-0.122,0.259,-0.175
492,-0.181,1.236,0.298,0.299,-0.053,0,0.07,0.75,-0.145,-0.011,-0.002,-0.001,0.103,0.799,0.628,0.933,0.447,0.46,-0.106,0.442,-0.62,-0.138,-0.312,-0.173,0.417,-0.101,0.057,0.318,-0.08
493,-0.369,0.753,-0.047,0.235,-0.314,-0.316,0.035,0.045,-0.443,0,-0.033,0.048,0.084,0.611,0.288,0.615,0.128,0.214,-0.207,0.209,-0.748,-0.319,-0.525,-0.399,0.11,-0.322,-0.218,0.051,-0.372
494,-0.181,0.942,0.096,0.081,-0.283,-0.056,0.205,0.278,-0.122,0,-0.156,0.149,0.636,1.03,0.261,1.078,0.237,0.209,0.029,0.338,-0.543,-0.147,-0.523,-0.347,0.423,-0.173,0.101,0.421,-0.079
495,-0.283,0.758,0.091,0.081,-0.363,-0.122,0.022,0.433,0,-0.035,0.01,-0.005,0.741,0.89,0.429,1.011,0.192,0.134,-0.178,0.28,-0.634,-0.242,-0.475,-0.074,0.495,-0.34,-0.158,0.268,-0.242
496,-0.288,0.766,0.017,0.061,-0.333,-0.338,0.107,0.439,-0.266,0,-0.144,0.033,0.742,0.842,0.286,0.866,0.111,0.036,-0.105,0.292,-0.61,-0.206,-0.497,-0.251,0.471,-0.435,-0.235,0.212,-0.119
497,-0.166,0.907,0.228,0.298,-0.215,-0.03,0.321,0.195,-0.194,0,0.216,0.173,0.951,1.375,0.566,0.792,0.491,0.542,0.124,0.414,-0.522,-0.155,-0.482,-0.505,0.632,-0.236,-0.002,0.189,0.007
498,-0.201,1.211,0.104,0.511,-0.271,-0.181,0,0.086,-0.228,0.121,-0.097,0.071,1.048,1.438,0.48,0.908,0.437,0.231,-0.071,0.46,-0.622,-0.131,-0.479,-0.321,0.53,-0.308,-0.175,0.204,-0.145
499,-0.312,0.737,0.097,0.273,-0.231,-0.17,0.119,0.119,-0.09,0,-0.081,-0.119,1.269,1.105,0.234,0.836,0.157,0.006,-0.045,0.284,-0.679,-0.235,-0.53,-0.168,0.509,-0.299,-0.248,0.324,-0.147
