graph_id,node_id,feat
1,42,"3.1537747688218536,0.37432380325855363,-1.6128796019508689"
1,43,"0.8908123224919217,3.1537747688218536,0.37432380325855363"
1,44,"0.18864078130061185,0.8908123224919217,3.1537747688218536"
1,45,"1.4246839331426049,0.18864078130061185,0.8908123224919217"
1,46,"0.2473745598773781,1.4246839331426049,0.18864078130061185"
1,47,"-0.49930823054922513,0.2473745598773781,1.4246839331426049"
1,48,"-0.38789841737445674,-0.49930823054922513,0.2473745598773781"
1,49,"-1.45616839902183,-0.38789841737445674,-0.49930823054922513"
1,50,"1.2800882181711106,-1.45616839902183,-0.38789841737445674"
1,51,"0.041411264599215916,1.2800882181711106,-1.45616839902183"
1,52,"1.1033601220948381,0.041411264599215916,1.2800882181711106"
1,53,"-0.9889319721376018,1.1033601220948381,0.041411264599215916"
1,54,"-0.769536288036944,-0.9889319721376018,1.1033601220948381"
1,55,"2.7007608712790816,-0.769536288036944,-0.9889319721376018"
1,56,"0.752274351499175,2.7007608712790816,-0.769536288036944"
1,57,"2.0831343656175654,0.752274351499175,2.7007608712790816"
1,58,"-0.6968433602917082,2.0831343656175654,0.752274351499175"
1,59,"-0.1018675495073439,-0.6968433602917082,2.0831343656175654"
1,60,"-0.7424081302189822,-0.1018675495073439,-0.6968433602917082"
1,61,"-0.5417124384006071,-0.7424081302189822,-0.1018675495073439"
1,62,"0.1849534588787626,-0.5417124384006071,-0.7424081302189822"
1,63,"-0.6183560687406954,0.1849534588787626,-0.5417124384006071"
1,64,"-1.1474868362775819,-0.6183560687406954,0.1849534588787626"
1,65,"1.6685739733313392,-1.1474868362775819,-0.6183560687406954"
1,66,"-0.4832420399968277,1.6685739733313392,-1.1474868362775819"
1,67,"-1.1627628863109856,-0.4832420399968277,1.6685739733313392"
1,68,"0.3777477455074325,-1.1627628863109856,-0.4832420399968277"
1,69,"-0.23066045409944405,0.3777477455074325,-1.1627628863109856"
1,70,"0.46887728536196394,-0.23066045409944405,0.3777477455074325"
1,71,"-1.3674092807242135,0.46887728536196394,-0.23066045409944405"
1,72,"0.34930268682450344,-1.3674092807242135,0.46887728536196394"
1,73,"-0.388425177720447,0.34930268682450344,-1.3674092807242135"
1,74,"0.01112254470536222,-0.388425177720447,0.34930268682450344"
1,75,"1.7273077519081055,0.01112254470536222,-0.388425177720447"
1,76,"-0.7592644612903403,1.7273077519081055,0.01112254470536222"
1,77,"-1.0334432213729117,-0.7592644612903403,1.7273077519081055"
1,78,"1.4913191169090765,-1.0334432213729117,-0.7592644612903403"
1,79,"-1.616303544199748,1.4913191169090765,-1.0334432213729117"
1,80,"-0.20774637904930535,-1.616303544199748,1.4913191169090765"
1,81,"1.8990316246975778,-0.20774637904930535,-1.616303544199748"
1,82,"-0.8567151252966393,1.8990316246975778,-0.20774637904930535"
1,83,"-1.2446741201108775,-0.8567151252966393,1.8990316246975778"
1,84,"0.895289785432748,-1.2446741201108775,-0.8567151252966393"
1,85,"1.0559516909566395,0.895289785432748,-1.2446741201108775"
1,86,"0.8884419009350067,1.0559516909566395,0.895289785432748"
1,87,"0.8004729231563508,0.8884419009350067,1.0559516909566395"
1,88,"0.043518305983127406,0.8004729231563508,0.8884419009350067"
1,89,"0.3690561997987501,0.043518305983127406,0.8004729231563508"
1,90,"0.32217452900654175,0.3690561997987501,0.043518305983127406"
1,91,"0.5794969580177551,0.32217452900654175,0.3690561997987501"
1,92,"0.43700828443017253,0.5794969580177551,0.32217452900654175"
1,93,"-1.0023643609600974,0.43700828443017253,0.5794969580177551"
1,94,"0.5239237415168645,-1.0023643609600974,0.43700828443017253"
1,95,"0.9550770847014782,0.5239237415168645,-1.0023643609600974"
1,96,"0.49653220352591587,0.9550770847014782,0.5239237415168645"
1,97,"-0.9157122840463924,0.49653220352591587,0.9550770847014782"
1,98,"-0.5583053892989782,-0.9157122840463924,0.49653220352591587"
1,99,"-1.0579375774609716,-0.5583053892989782,-0.9157122840463924"
1,100,"0.205233732198983,-1.0579375774609716,-0.5583053892989782"
1,101,"-0.15059288151047687,0.205233732198983,-1.0579375774609716"
1,102,"-0.08922530120382538,-0.15059288151047687,0.205233732198983"
1,103,"-1.3371205608303598,-0.08922530120382538,-0.15059288151047687"
1,104,"1.2990515906263966,-1.3371205608303598,-0.08922530120382538"
1,105,"-0.5748983401973494,1.2990515906263966,-1.3371205608303598"
1,106,"1.4526022314795437,-0.5748983401973494,1.2990515906263966"
1,107,"-0.06051686234790943,1.4526022314795437,-0.5748983401973494"
1,108,"-0.5593589099909423,-0.06051686234790943,1.4526022314795437"
1,109,"-0.5127406193717042,-0.5593589099909423,-0.06051686234790943"
1,110,"-0.4432082537023606,-0.5127406193717042,-0.5593589099909423"
1,111,"1.9069330298872664,-0.4432082537023606,-0.5127406193717042"
1,112,"-0.4555871218328923,1.9069330298872664,-0.4432082537023606"
1,113,"0.9548137045284748,-0.4555871218328923,1.9069330298872664"
1,114,"0.43253082148934613,0.9548137045284748,-0.4555871218328923"
1,115,"0.22182668309735418,0.43253082148934613,0.9548137045284748"
1,116,"-0.36235054059443284,0.22182668309735418,0.43253082148934613"
1,117,"0.5049603690615949,-0.36235054059443284,0.22182668309735418"
1,118,"1.0296136736576385,0.5049603690615949,-0.36235054059443284"
1,119,"0.4127773085150995,1.0296136736576385,0.5049603690615949"
1,120,"-0.22723651185056515,0.4127773085150995,1.0296136736576385"
1,121,"-0.942840441864354,-0.22723651185056515,0.4127773085150995"
1,122,"-0.03128166314601974,-0.942840441864354,-0.22723651185056515"
1,123,"0.8476179741215625,-0.03128166314601974,-0.942840441864354"
1,124,"1.0248728305438088,0.8476179741215625,-0.03128166314601974"
1,125,"0.44043222667903487,1.0248728305438088,0.8476179741215625"
1,126,"-1.527281045729128,0.44043222667903487,1.0248728305438088"
1,127,"-0.036022506259832984,-1.527281045729128,0.44043222667903487"
1,128,"-0.24172242136502484,-0.036022506259832984,-1.527281045729128"
1,129,"-0.43925755110750797,-0.24172242136502484,-0.036022506259832984"
1,130,"0.23051822880602008,-0.43925755110750797,-0.24172242136502484"
1,131,"0.27186891596545454,0.23051822880602008,-0.43925755110750797"
1,132,"0.054580273248708185,0.27186891596545454,0.23051822880602008"
1,133,"0.020340850760018375,0.054580273248708185,0.27186891596545454"
1,134,"0.5154955759811854,0.020340850760018375,0.054580273248708185"
1,135,"-0.3565561767886556,0.5154955759811854,0.020340850760018375"
1,136,"-1.1817262587662718,-0.3565561767886556,0.5154955759811854"
1,137,"0.8389264284128801,-1.1817262587662718,-0.3565561767886556"
1,138,"-1.229924830423431,0.8389264284128801,-1.1817262587662718"
1,139,"-1.4569585395408071,-1.229924830423431,0.8389264284128801"
